sku,attribute_set_code,product_type,additional_attributes
4300SM,Migration_Default,simple,"color=Black2,is_recurring=Yes,gift_wrapping_available=No,size=S/M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Heavy Bag Training & Mitt Work,technology=c3foam|evercool|everdri,offline_product=Yes,limited_edition=No,estimated_delivery_enable=Inherited,estimated_shipping_enable=Inherited,exclude_tag=No,rating=1,wesupply_estimation_display=Yes,is_featured=No"
4300LXL,Migration_Default,simple,"color=Black2,is_recurring=Yes,gift_wrapping_available=No,size=L/XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Heavy Bag Training & Mitt Work,technology=c3foam|evercool|everdri,offline_product=Yes,limited_edition=No,estimated_delivery_enable=Inherited,estimated_shipping_enable=Inherited,exclude_tag=No,rating=1,wesupply_estimation_display=Yes"
wristwrap-heavy-bag-gloves-black-Friday,Migration_Default,configurable,"product_attribute_badge=On Sale Badge,gender=male,google_product_category=Sporting Goods>Combat Sports>Punching & Training Bag Accessories,engineered_for=Heavy Bag Training & Mitt Work,technology=c3foam|evercool|everdri,offline_product=No,filter_color=Black,sizechart=size-charts/boxing-gloves"
4460B,Migration_Default,simple,"is_recurring=No,size=One Size,gender=unisex,google_product_category=Apparel & Accessories > Clothing > Outerwear,offline_product=No"
4450B,Migration_Default,simple,"color=Black Brain Pad Mouth Guard,is_recurring=No,size=One Size,gender=unisex,google_product_category=Apparel & Accessories > Clothing > Outerwear,offline_product=No"
4450Y,Migration_Default,simple,"color=Yellow Brain Pad Mouth Guard,is_recurring=No,size=One Size,gender=unisex,google_product_category=Apparel & Accessories > Clothing > Outerwear,offline_product=No"
4450G,Migration_Default,simple,"color=Grey Brain Pad Mouth Guard,is_recurring=No,size=One Size,gender=unisex,google_product_category=Apparel & Accessories > Clothing > Outerwear,offline_product=No"
boxing-brain-pad-mouthguard,Migration_Default,configurable,"gender=unisex,google_product_category=Sporting Goods>Combat Sports>Boxing & Martial Arts Protective Gear,offline_product=No,filter_color=Black|Clear|Grey"
740001,Migration_Default,simple,"color=Black2,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Sparring,technology=c3foam|everdri,offline_product=No,limited_edition=No,swatch_data=color=45&size=161"
740201,Migration_Default,simple,"color=Black2,is_recurring=Yes,gift_wrapping_available=No,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Sparring,technology=c3foam|everdri,offline_product=Yes,limited_edition=No,estimated_delivery_enable=Inherited,estimated_shipping_enable=Inherited,exclude_tag=No,swatch_data=color=45&size=162"
740401,Migration_Default,simple,"color=Black2,is_recurring=Yes,gift_wrapping_available=No,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Sparring,technology=c3foam|everdri,offline_product=Yes,limited_edition=No,estimated_delivery_enable=Inherited,estimated_shipping_enable=Inherited,exclude_tag=No,swatch_data=color=45&size=163"
740601,Migration_Default,simple,"color=Black2,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Sparring,technology=c3foam|everdri,offline_product=No,limited_edition=No,swatch_data=color=45&size=12"
safemax-hook-and-loop-protector,Migration_Default,configurable,"is_recurring=Yes,gift_wrapping_available=No,gender=male,google_product_category=Sporting Goods>Combat Sports>Boxing & Martial Arts Protective Gear,engineered_for=Sparring,technology=c3foam|everdri,offline_product=No,filter_color=Black,sizing_chart_info=Size Chart_Groin Protector,sizechart=size-charts/groin-protector"
940001,Migration_Default,simple,"color=Black2,is_recurring=Yes,gift_wrapping_available=No,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Sparring,technology=c3foam|everdri,offline_product=Yes,limited_edition=No,estimated_delivery_enable=Inherited,estimated_shipping_enable=Inherited,exclude_tag=No,swatch_data=color=45&size=161"
