sku,attribute_set_code,product_type,additional_attributes
4300SM,Migration_Default,simple,offline_product=Yes
4300LXL,Migration_Default,simple,offline_product=Yes
wristwrap-heavy-bag-gloves-black-Friday,Migration_Default,configurable,offline_product=No
4460B,Migration_Default,simple,offline_product=No
4450B,Migration_Default,simple,offline_product=No
4450Y,Migration_Default,simple,offline_product=No
4450G,Migration_Default,simple,offline_product=No
boxing-brain-pad-mouthguard,Migration_Default,configurable,offline_product=No
740001,Migration_Default,simple,offline_product=No
740201,Migration_Default,simple,offline_product=Yes
740401,Migration_Default,simple,offline_product=Yes
740601,Migration_Default,simple,offline_product=No
safemax-hook-and-loop-protector,Migration_Default,configurable,offline_product=No
940001,Migration_Default,simple,offline_product=Yes
940201,Migration_Default,simple,offline_product=Yes
940401,Migration_Default,simple,offline_product=Yes
940601,Migration_Default,simple,offline_product=Yes
safemax-laced-protector,Migration_Default,configurable,offline_product=Yes
9283081034,Migration_Default,simple,offline_product=No
9283081898,Migration_Default,simple,offline_product=Yes
white-pro-suede-lo-top-boxing-shoes,Migration_Default,configurable,offline_product=No
mma-amateur-fight-gloves,Migration_Default,configurable,offline_product=No
820206,Migration_Default,simple,offline_product=No
820406,Migration_Default,simple,offline_product=No
820606,Migration_Default,simple,offline_product=No
thai-striking-gloves,Migration_Default,configurable,offline_product=No
830206,Migration_Default,simple,offline_product=No
boxing-apparel-vertical-tshirt,Migration_Default,configurable,offline_product=No
undefeated-mens-t-shirt,Migration_Default,configurable,offline_product=No
born-in-the-bronx-mens-t-shirt,Migration_Default,configurable,offline_product=No
everlast-camo-womens-t-shirt,Migration_Default,configurable,offline_product=No
everlast-camo-mens-t-shirt,Migration_Default,configurable,offline_product=No
boxing-apparel-1910-tshirt,Migration_Default,configurable,offline_product=No
280807,Migration_Default,simple,offline_product=No
281007,Migration_Default,simple,offline_product=No
281107,Migration_Default,simple,offline_product=No
protex3-professional-fight-gloves-grey,Migration_Default,configurable,offline_product=No
7950SMGL,Migration_Default,simple,offline_product=No
7950XLGL,Migration_Default,simple,offline_product=No
3112LXL,Migration_Default,simple,offline_product=No
3112WLXL,Migration_Default,simple,offline_product=No
4449P,Migration_Default,simple,offline_product=No
7771LXL,Migration_Default,simple,offline_product=No
competition-style-glove-boxing,Migration_Default,configurable,offline_product=No
4251,Migration_Default,simple,offline_product=No
7950SM,Migration_Default,simple,offline_product=No
7772SM,Migration_Default,simple,offline_product=No
7772LXL,Migration_Default,simple,offline_product=No
7412B,Migration_Default,simple,offline_product=No
7774BS,Migration_Default,simple,offline_product=No
7774BL,Migration_Default,simple,offline_product=No
protex-2-universal-training-glove,Migration_Default,configurable,offline_product=No
7352B,Migration_Default,simple,offline_product=No
7212LXL,Migration_Default,simple,offline_product=Yes
7214LXL,Migration_Default,simple,offline_product=Yes
7216LXL,Migration_Default,simple,offline_product=Yes
protex-2-clinch-strike,Migration_Default,configurable,offline_product=No
7775BS,Migration_Default,simple,offline_product=No
7775BL,Migration_Default,simple,offline_product=No
mma-universal-training-gloves,Migration_Default,configurable,offline_product=No
high-top-boxing-shoes-pink,Migration_Default,configurable,offline_product=No
7671LXL,Migration_Default,simple,offline_product=No
7672RGLXL,Migration_Default,simple,offline_product=No
9111,Migration_Default,simple,offline_product=No
7800139,Migration_Default,simple,offline_product=No
performance-running-short-sale,Migration_Default,configurable,offline_product=No
performance-velocity-running-tight-sale,Migration_Default,configurable,offline_product=No
570001,Migration_Default,simple,offline_product=Yes
570401,Migration_Default,simple,offline_product=Yes
550001,Migration_Default,simple,offline_product=No
550401,Migration_Default,simple,offline_product=No
560001,Migration_Default,simple,offline_product=No
560401,Migration_Default,simple,offline_product=Yes
691101,Migration_Default,simple,offline_product=No
701101,Migration_Default,simple,offline_product=No
711501,Migration_Default,simple,offline_product=No
712501,Migration_Default,simple,offline_product=No
220801,Migration_Default,simple,offline_product=Yes
220901,Migration_Default,simple,offline_product=Yes
221001,Migration_Default,simple,offline_product=Yes
7672SM,Migration_Default,simple,offline_product=No
7672LXL,Migration_Default,simple,offline_product=No
mma-leather-grappling-gloves,Migration_Default,configurable,offline_product=No
7673SM,Migration_Default,simple,offline_product=No
7673LXL,Migration_Default,simple,offline_product=No
mma-striking-gloves,Migration_Default,configurable,offline_product=No
420D,Migration_Default,simple,offline_product=No
4680,Migration_Default,simple,offline_product=No
